country,question,percentage_yes,code
Ecuador,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",62,ECU
Ecuador,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",47,ECU
Ecuador,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",70,ECU
Ecuador,"Q23 Before today, had you ever heard of a vaccine?",92,ECU
Ecuador,"Q27 Do you, personally, have any children?",68,ECU
Ecuador,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",97,ECU
Ecuador,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,45,ECU
Egypt,Q3 Do you think studying diseases is a part of science?,78,EGY
Egypt,"Q5A Have you, personally, ever, learned about science at Primary School?",79,EGY
Egypt,"Q5B Have you, personally, ever, learned about science at Secondary School?",43,EGY
Egypt,"Q5C Have you, personally, ever, learned about science at College/University?",11,EGY
Egypt,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",16,EGY
Egypt,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",28.000000000000004,EGY
Egypt,"Q8 Would you, personally, like to know more about science?",50,EGY
Egypt,"Q9 Would you, personally, like to know more about medicine, disease, or health?",59,EGY
Egypt,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",51,EGY
Egypt,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",63,EGY
Egypt,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",51,EGY
Egypt,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",73,EGY
Egypt,"Q23 Before today, had you ever heard of a vaccine?",99,EGY
Egypt,"Q27 Do you, personally, have any children?",94,EGY
Egypt,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",100,EGY
Egypt,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,13,EGY
El Salvador,Q3 Do you think studying diseases is a part of science?,90,SLV
El Salvador,"Q5A Have you, personally, ever, learned about science at Primary School?",72,SLV
El Salvador,"Q5B Have you, personally, ever, learned about science at Secondary School?",65,SLV
El Salvador,"Q5C Have you, personally, ever, learned about science at College/University?",21,SLV
El Salvador,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",28.000000000000004,SLV
El Salvador,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",42,SLV
El Salvador,"Q8 Would you, personally, like to know more about science?",78,SLV
El Salvador,"Q9 Would you, personally, like to know more about medicine, disease, or health?",84,SLV
El Salvador,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",59,SLV
El Salvador,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",56.99999999999999,SLV
El Salvador,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",51,SLV
El Salvador,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",67,SLV
El Salvador,"Q23 Before today, had you ever heard of a vaccine?",93,SLV
El Salvador,"Q27 Do you, personally, have any children?",69,SLV
El Salvador,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",90,SLV
El Salvador,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,42,SLV
Estonia,Q3 Do you think studying diseases is a part of science?,95,EST
Estonia,"Q5A Have you, personally, ever, learned about science at Primary School?",78,EST
Estonia,"Q5B Have you, personally, ever, learned about science at Secondary School?",76,EST
Estonia,"Q5C Have you, personally, ever, learned about science at College/University?",41,EST
Estonia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",48,EST
Estonia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",55.00000000000001,EST
Estonia,"Q8 Would you, personally, like to know more about science?",57.99999999999999,EST
Estonia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",65,EST
Estonia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",47,EST
Estonia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",78,EST
Estonia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",66,EST
Estonia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",83,EST
Estonia,"Q23 Before today, had you ever heard of a vaccine?",93,EST
Estonia,"Q27 Do you, personally, have any children?",73,EST
Estonia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",94,EST
Estonia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,45,EST
Ethiopia,Q3 Do you think studying diseases is a part of science?,71,ETH
Ethiopia,"Q5A Have you, personally, ever, learned about science at Primary School?",56.00000000000001,ETH
Ethiopia,"Q5B Have you, personally, ever, learned about science at Secondary School?",33,ETH
Ethiopia,"Q5C Have you, personally, ever, learned about science at College/University?",10,ETH
Ethiopia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",23,ETH
Ethiopia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",31,ETH
Ethiopia,"Q8 Would you, personally, like to know more about science?",84,ETH
Ethiopia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",90,ETH
Ethiopia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",56.00000000000001,ETH
Ethiopia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",82,ETH
Ethiopia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",68,ETH
Ethiopia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",84,ETH
Ethiopia,"Q23 Before today, had you ever heard of a vaccine?",97,ETH
Ethiopia,"Q27 Do you, personally, have any children?",71,ETH
Ethiopia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",98,ETH
Ethiopia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,15,ETH
Finland,Q3 Do you think studying diseases is a part of science?,99,FIN
Finland,"Q5A Have you, personally, ever, learned about science at Primary School?",60,FIN
Finland,"Q5B Have you, personally, ever, learned about science at Secondary School?",56.00000000000001,FIN
Finland,"Q5C Have you, personally, ever, learned about science at College/University?",31,FIN
Finland,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",55.00000000000001,FIN
Finland,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",65,FIN
Finland,"Q8 Would you, personally, like to know more about science?",67,FIN
Finland,"Q9 Would you, personally, like to know more about medicine, disease, or health?",74,FIN
Finland,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",57.99999999999999,FIN
Finland,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",89,FIN
Finland,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",83,FIN
Finland,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",93,FIN
Finland,"Q23 Before today, had you ever heard of a vaccine?",99,FIN
Finland,"Q27 Do you, personally, have any children?",70,FIN
Finland,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",98,FIN
Finland,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,60,FIN
France,Q3 Do you think studying diseases is a part of science?,95,FRA
France,"Q5A Have you, personally, ever, learned about science at Primary School?",84,FRA
France,"Q5B Have you, personally, ever, learned about science at Secondary School?",87,FRA
France,"Q5C Have you, personally, ever, learned about science at College/University?",22,FRA
France,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",46,FRA
France,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",60,FRA
France,"Q8 Would you, personally, like to know more about science?",61,FRA
France,"Q9 Would you, personally, like to know more about medicine, disease, or health?",65,FRA
France,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",61,FRA
France,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",86,FRA
France,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",72,FRA
France,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",84,FRA
France,"Q23 Before today, had you ever heard of a vaccine?",97,FRA
France,"Q27 Do you, personally, have any children?",63,FRA
France,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",91,FRA
France,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,48,FRA
Gabon,Q3 Do you think studying diseases is a part of science?,86,GAB
Gabon,"Q5A Have you, personally, ever, learned about science at Primary School?",84,GAB
Gabon,"Q5B Have you, personally, ever, learned about science at Secondary School?",74,GAB
Gabon,"Q5C Have you, personally, ever, learned about science at College/University?",13,GAB
Gabon,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",25,GAB
Gabon,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",43,GAB
Gabon,"Q8 Would you, personally, like to know more about science?",75,GAB
Gabon,"Q9 Would you, personally, like to know more about medicine, disease, or health?",84,GAB
Gabon,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",39,GAB
Gabon,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",56.00000000000001,GAB
Gabon,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",46,GAB
Gabon,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",70,GAB
Gabon,"Q23 Before today, had you ever heard of a vaccine?",95,GAB
Gabon,"Q27 Do you, personally, have any children?",68,GAB
Gabon,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",98,GAB
Gabon,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,44,GAB
Georgia,Q3 Do you think studying diseases is a part of science?,85,GEO
Georgia,"Q5A Have you, personally, ever, learned about science at Primary School?",33,GEO
Georgia,"Q5B Have you, personally, ever, learned about science at Secondary School?",61,GEO
Georgia,"Q5C Have you, personally, ever, learned about science at College/University?",34,GEO
Georgia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",23,GEO
Georgia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",50,GEO
Georgia,"Q8 Would you, personally, like to know more about science?",64,GEO
Georgia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",83,GEO
Georgia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",44,GEO
Georgia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",65,GEO
Georgia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",38,GEO
Georgia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",70,GEO
Georgia,"Q23 Before today, had you ever heard of a vaccine?",87,GEO
Georgia,"Q27 Do you, personally, have any children?",73,GEO
Georgia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",84,GEO
Georgia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,40,GEO
Germany,Q3 Do you think studying diseases is a part of science?,97,DEU
Germany,"Q5A Have you, personally, ever, learned about science at Primary School?",51,DEU
Germany,"Q5B Have you, personally, ever, learned about science at Secondary School?",79,DEU
Germany,"Q5C Have you, personally, ever, learned about science at College/University?",48,DEU
Germany,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",55.00000000000001,DEU
Germany,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",63,DEU
Germany,"Q8 Would you, personally, like to know more about science?",50,DEU
Germany,"Q9 Would you, personally, like to know more about medicine, disease, or health?",56.99999999999999,DEU
Germany,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",31,DEU
Germany,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",66,DEU
Germany,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",85,DEU
Germany,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",79,DEU
Germany,"Q23 Before today, had you ever heard of a vaccine?",95,DEU
Germany,"Q27 Do you, personally, have any children?",67,DEU
Germany,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",95,DEU
Germany,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,57.99999999999999,DEU
Ghana,Q3 Do you think studying diseases is a part of science?,87,GHA
Ghana,"Q5A Have you, personally, ever, learned about science at Primary School?",80,GHA
Ghana,"Q5B Have you, personally, ever, learned about science at Secondary School?",60,GHA
Ghana,"Q5C Have you, personally, ever, learned about science at College/University?",16,GHA
Ghana,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",21,GHA
Ghana,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",32,GHA
Ghana,"Q8 Would you, personally, like to know more about science?",64,GHA
Ghana,"Q9 Would you, personally, like to know more about medicine, disease, or health?",77,GHA
Ghana,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",64,GHA
Ghana,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",85,GHA
Ghana,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",76,GHA
Ghana,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",83,GHA
Ghana,"Q23 Before today, had you ever heard of a vaccine?",70,GHA
Ghana,"Q27 Do you, personally, have any children?",53,GHA
Ghana,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",89,GHA
Ghana,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,31,GHA
Greece,Q3 Do you think studying diseases is a part of science?,96,GRC
Greece,"Q5A Have you, personally, ever, learned about science at Primary School?",61,GRC
Greece,"Q5B Have you, personally, ever, learned about science at Secondary School?",67,GRC
Greece,"Q5C Have you, personally, ever, learned about science at College/University?",36,GRC
Greece,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",26,GRC
Greece,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",31,GRC
Greece,"Q8 Would you, personally, like to know more about science?",69,GRC
Greece,"Q9 Would you, personally, like to know more about medicine, disease, or health?",76,GRC
Greece,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",25,GRC
Greece,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",75,GRC
Greece,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",72,GRC
Greece,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",80,GRC
Greece,"Q23 Before today, had you ever heard of a vaccine?",96,GRC
Greece,"Q27 Do you, personally, have any children?",65,GRC
Greece,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",98,GRC
Greece,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,66,GRC
Guatemala,Q3 Do you think studying diseases is a part of science?,88,GTM
Guatemala,"Q5A Have you, personally, ever, learned about science at Primary School?",73,GTM
Guatemala,"Q5B Have you, personally, ever, learned about science at Secondary School?",54,GTM
Guatemala,"Q5C Have you, personally, ever, learned about science at College/University?",16,GTM
Guatemala,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",30,GTM
Guatemala,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",43,GTM
Guatemala,"Q8 Would you, personally, like to know more about science?",86,GTM
Guatemala,"Q9 Would you, personally, like to know more about medicine, disease, or health?",91,GTM
Guatemala,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",36,GTM
Guatemala,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",64,GTM
Guatemala,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",59,GTM
Guatemala,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",72,GTM
Guatemala,"Q23 Before today, had you ever heard of a vaccine?",85,GTM
Guatemala,"Q27 Do you, personally, have any children?",66,GTM
Guatemala,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",86,GTM
Guatemala,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,47,GTM
Guinea,Q3 Do you think studying diseases is a part of science?,81,GIN
Guinea,"Q5A Have you, personally, ever, learned about science at Primary School?",43,GIN
Guinea,"Q5B Have you, personally, ever, learned about science at Secondary School?",46,GIN
Guinea,"Q5C Have you, personally, ever, learned about science at College/University?",16,GIN
Guinea,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",34,GIN
Guinea,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",37,GIN
Guinea,"Q8 Would you, personally, like to know more about science?",85,GIN
Guinea,"Q9 Would you, personally, like to know more about medicine, disease, or health?",86,GIN
Guinea,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",57.99999999999999,GIN
Guinea,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",68,GIN
Guinea,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",54,GIN
Guinea,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",76,GIN
Guinea,"Q23 Before today, had you ever heard of a vaccine?",83,GIN
Guinea,"Q27 Do you, personally, have any children?",68,GIN
Guinea,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",90,GIN
Guinea,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,23,GIN
Haiti,Q3 Do you think studying diseases is a part of science?,69,HTI
Haiti,"Q5A Have you, personally, ever, learned about science at Primary School?",56.99999999999999,HTI
Haiti,"Q5B Have you, personally, ever, learned about science at Secondary School?",56.99999999999999,HTI
Haiti,"Q5C Have you, personally, ever, learned about science at College/University?",30,HTI
Haiti,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",27,HTI
Haiti,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",36,HTI
Haiti,"Q8 Would you, personally, like to know more about science?",83,HTI
Haiti,"Q9 Would you, personally, like to know more about medicine, disease, or health?",87,HTI
Haiti,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",52,HTI
Haiti,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",65,HTI
Haiti,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",36,HTI
Haiti,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",56.99999999999999,HTI
Haiti,"Q23 Before today, had you ever heard of a vaccine?",79,HTI
Haiti,"Q27 Do you, personally, have any children?",56.99999999999999,HTI
Haiti,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",96,HTI
Haiti,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,31,HTI
Honduras,Q3 Do you think studying diseases is a part of science?,89,HND
Honduras,"Q5A Have you, personally, ever, learned about science at Primary School?",69,HND
Honduras,"Q5B Have you, personally, ever, learned about science at Secondary School?",45,HND
Honduras,"Q5C Have you, personally, ever, learned about science at College/University?",16,HND
Honduras,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",28.999999999999996,HND
Honduras,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",48,HND
Honduras,"Q8 Would you, personally, like to know more about science?",87,HND
Honduras,"Q9 Would you, personally, like to know more about medicine, disease, or health?",92,HND
Honduras,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",47,HND
Honduras,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",67,HND
Honduras,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",52,HND
Honduras,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",69,HND
Honduras,"Q23 Before today, had you ever heard of a vaccine?",90,HND
Honduras,"Q27 Do you, personally, have any children?",67,HND
Honduras,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",77,HND
Honduras,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,47,HND
Hungary,Q3 Do you think studying diseases is a part of science?,97,HUN
Hungary,"Q5A Have you, personally, ever, learned about science at Primary School?",75,HUN
Hungary,"Q5B Have you, personally, ever, learned about science at Secondary School?",70,HUN
Hungary,"Q5C Have you, personally, ever, learned about science at College/University?",25,HUN
Hungary,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",37,HUN
Hungary,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",39,HUN
Hungary,"Q8 Would you, personally, like to know more about science?",52,HUN
Hungary,"Q9 Would you, personally, like to know more about medicine, disease, or health?",60,HUN
Hungary,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",47,HUN
Hungary,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",52,HUN
Hungary,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",62,HUN
Hungary,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",82,HUN
Hungary,"Q23 Before today, had you ever heard of a vaccine?",96,HUN
Hungary,"Q27 Do you, personally, have any children?",71,HUN
Hungary,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",96,HUN
Hungary,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,25,HUN
Iceland,Q3 Do you think studying diseases is a part of science?,97,ISL
Iceland,"Q5A Have you, personally, ever, learned about science at Primary School?",79,ISL
Iceland,"Q5B Have you, personally, ever, learned about science at Secondary School?",68,ISL
Iceland,"Q5C Have you, personally, ever, learned about science at College/University?",25,ISL
Iceland,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",56.00000000000001,ISL
Iceland,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",59,ISL
Iceland,"Q8 Would you, personally, like to know more about science?",83,ISL
Iceland,"Q9 Would you, personally, like to know more about medicine, disease, or health?",85,ISL
Iceland,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",75,ISL
Iceland,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",87,ISL
Iceland,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",88,ISL
Iceland,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",93,ISL
Iceland,"Q23 Before today, had you ever heard of a vaccine?",97,ISL
Iceland,"Q27 Do you, personally, have any children?",72,ISL
Iceland,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",96,ISL
Iceland,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,45,ISL
India,Q3 Do you think studying diseases is a part of science?,63,IND
India,"Q5A Have you, personally, ever, learned about science at Primary School?",60,IND
India,"Q5B Have you, personally, ever, learned about science at Secondary School?",59,IND
India,"Q5C Have you, personally, ever, learned about science at College/University?",19,IND
India,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",14.000000000000002,IND
India,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",23,IND
India,"Q8 Would you, personally, like to know more about science?",36,IND
India,"Q9 Would you, personally, like to know more about medicine, disease, or health?",51,IND
India,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",49,IND
India,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",87,IND
India,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",65,IND
India,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",74,IND
India,"Q23 Before today, had you ever heard of a vaccine?",90,IND
India,"Q27 Do you, personally, have any children?",88,IND
India,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",91,IND
India,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,16,IND
Indonesia,Q3 Do you think studying diseases is a part of science?,81,IDN
Indonesia,"Q5A Have you, personally, ever, learned about science at Primary School?",91,IDN
Indonesia,"Q5B Have you, personally, ever, learned about science at Secondary School?",60,IDN
Indonesia,"Q5C Have you, personally, ever, learned about science at College/University?",14.000000000000002,IDN
Indonesia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",34,IDN
Indonesia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",36,IDN
Indonesia,"Q8 Would you, personally, like to know more about science?",68,IDN
Indonesia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",65,IDN
Indonesia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",46,IDN
Indonesia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",86,IDN
Indonesia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",77,IDN
Indonesia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",87,IDN
Indonesia,"Q23 Before today, had you ever heard of a vaccine?",64,IDN
Indonesia,"Q27 Do you, personally, have any children?",72,IDN
Indonesia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",88,IDN
Indonesia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,25,IDN
Iran,Q3 Do you think studying diseases is a part of science?,90,IRN
Iran,"Q5A Have you, personally, ever, learned about science at Primary School?",76,IRN
Iran,"Q5B Have you, personally, ever, learned about science at Secondary School?",60,IRN
Iran,"Q5C Have you, personally, ever, learned about science at College/University?",28.999999999999996,IRN
Iran,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",44,IRN
Iran,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",64,IRN
Iran,"Q8 Would you, personally, like to know more about science?",84,IRN
Iran,"Q9 Would you, personally, like to know more about medicine, disease, or health?",93,IRN
Iran,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",50,IRN
Iran,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",65,IRN
Iran,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",64,IRN
Iran,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",85,IRN
Iran,"Q23 Before today, had you ever heard of a vaccine?",92,IRN
Iran,"Q27 Do you, personally, have any children?",84,IRN
Iran,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",99,IRN
Iran,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,23,IRN
Iraq,Q3 Do you think studying diseases is a part of science?,85,IRQ
Iraq,"Q5A Have you, personally, ever, learned about science at Primary School?",84,IRQ
Iraq,"Q5B Have you, personally, ever, learned about science at Secondary School?",50,IRQ
Iraq,"Q5C Have you, personally, ever, learned about science at College/University?",20,IRQ
